车型名称,产品力,市场表现,用户口碑,创新力,综合得分,排名,w_AHP_产品力,w_熵权_产品力,w_组合_产品力,w_AHP_市场表现,w_熵权_市场表现,w_组合_市场表现,w_AHP_用户口碑,w_熵权_用户口碑,w_组合_用户口碑,w_AHP_创新力,w_熵权_创新力,w_组合_创新力
特斯拉model3,100.0,63.37269189717454,19.506372379226576,100.0,78.6364,1,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
奔驰EQE,91.50065102176796,19.290865261604036,64.93660900412246,100.0,78.1149,2,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
宝马i3,97.21252651461896,0.0,61.052090497038634,100.0,75.8359,3,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
特斯拉modelY,88.38552714424563,48.85013184365784,15.598818819455246,100.0,72.4482,4,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
比亚迪汉,77.74911516055481,49.079115261324404,64.50119813561045,79.07407407407408,71.1364,5,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
理想L7,78.70272451081675,42.71248665055489,71.18871013591455,55.55555555555556,62.7619,6,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
比亚迪秦PLUS,34.298760919132704,45.14543831666465,69.45145173836733,85.49382716049382,62.2065,7,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
理想L8,78.70272451081675,41.57066696614409,62.280033018795734,55.55555555555556,60.8603,8,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
比亚迪宋PRO新能源,33.565215265085065,54.3147143465246,73.0425610190472,55.55555555555556,52.8171,9,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
福特探险者,79.39959288216201,72.53879797652651,89.4570934044424,2.7777777777777777,51.2214,10,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
丰田凯美瑞,26.051262615457034,73.90549634309389,65.49857718510518,47.22222222222222,49.2948,11,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
本田CRV,39.96151108181869,74.50155850974215,39.42058390230473,33.08080808080807,42.7398,12,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
大众迈腾,51.793824768169,57.138946297698844,100.0,0.0,42.3282,13,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
丰田汉兰达,0.0,92.89310658812211,43.808917351609175,44.44444444444444,40.0617,14,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
奔驰E级,70.51146470728472,100.0,17.478370635464792,0.0,38.2436,15,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
本田思域,37.77087701495824,52.655630015393605,56.266025117181265,21.296296296296294,37.466,16,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
吉利帝豪,34.72666255066051,58.281701683044794,95.7779045369278,0.0,37.1017,17,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
吉利星越L,24.298088502283164,48.55665806866138,75.70731002143057,13.88888888888889,34.1363,18,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
丰田卡罗拉,8.45350237485405,41.95636166615663,72.61540838629755,28.703703703703702,33.8393,19,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
宝马3系,60.547469573137555,63.282957725724884,31.21061014258548,0.0,32.3781,20,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
宝马5系,70.51146470728472,80.24378005091116,0.0,0.0,31.7288,21,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
奔驰C级,48.45619204225224,68.17415992533061,32.543941073935606,0.0,30.159,22,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
大众朗逸,27.489012097390397,40.69538737504939,73.29085950865817,0.0,28.0169,23,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
福特福克斯,31.94407936963976,39.76805477935063,21.59054121008532,0.0,19.0858,24,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
